accepted_submission_index,commit,commit_short,commit_date,submission_id,tested_point_pairs,correct_point_pairs,incorrect_point_pairs,correctness_probability,correctness_percent,avg_executed_toffoli,peak_qubits,qxt,qxt_over_p,emitted_ops,avg_executed_clifford,phase_garbage_batches,ancilla_garbage_batches,corpus_seed,elapsed_seconds
1,"c55911f37d0d25f7c088b303bdae0005e74a1d10","c55911f","2026-05-29T11:23:30Z","2548775d-ab81-4842-8272-f73559cd5da7",50000,50000,0,1.000000000000,100.000000000,3960753.000000000,2715,10753444395.000000000,10753444395.000000000,28695222,22627110.424300000,1,0,"ecdsafail-qxt-history-v1",46.539
11,"8631b0492dc1649a75373ad26055c29a8f04fbf7","8631b04","2026-05-30T23:39:28Z","48497c26-547d-4702-ae22-3504ace1bd43",50000,50000,0,1.000000000000,100.000000000,3904100.000000000,2708,10572302800.000000000,10572302800.000000000,28319970,22415679.758699998,7,0,"ecdsafail-qxt-history-v1",11.731
21,"04b3a762b3a2f21c0f209f18a6b7aa16d5fb523d","04b3a76","2026-05-31T16:31:29Z","c8f43670-20c3-4073-94c5-30b742ba7523",50000,49997,3,0.999940000000,99.994000000,3541843.000000000,2708,9591310844.000000000,9591886357.181430817,26597605,21104908.326120000,6,0,"ecdsafail-qxt-history-v1",11.796
31,"ce60f0ef4d157b41374106d062b732ea9e39177b","ce60f0e","2026-06-01T06:02:51Z","fde221ff-f0ba-4105-8a46-3b23dd978629",50000,49987,13,0.999740000000,99.974000000,3356758.000000000,2310,7754110980.000000000,7756127573.169024467,25267667,19518142.979959998,7,0,"ecdsafail-qxt-history-v1",11.253
41,"179ab1070333d9221fc63cab448b9ed504b4418e","179ab10","2026-06-01T16:42:55Z","f342d571-3dd0-4937-b3b3-b609c871a533",50000,49987,13,0.999740000000,99.974000000,2837081.000000000,2309,6550820029.000000000,6552523685.158141136,21215074,16677002.170620000,5,0,"ecdsafail-qxt-history-v1",9.663
51,"a25248fde43107f5e99d8460a2d41d5ea7c1738c","a25248f","2026-06-01T18:34:37Z","d247fbfe-46b9-4866-bc14-000c3b7b2119",50000,49987,13,0.999740000000,99.974000000,2613815.000000000,2309,6035298835.000000000,6036868420.789405823,20622088,16304170.870400000,7,0,"ecdsafail-qxt-history-v1",9.791
61,"5136c0a546d8badc56a5bdc0f8a6dcb6b66fc54d","5136c0a","2026-06-01T21:43:43Z","38255e03-da47-461f-b4d5-77bd12a06bf3",50000,49985,15,0.999700000000,99.970000000,2424136.000000000,2309,5597330024.000000000,5599009726.918075562,18872496,14918743.482039999,7,0,"ecdsafail-qxt-history-v1",8.623
71,"13a7a538234cac65a1245b7b9e419856a11e9f58","13a7a53","2026-06-02T03:13:23Z","ea4f6e0d-41e5-4718-b820-fcbbac38cecf",50000,49971,29,0.999420000000,99.942000000,2559463.000000000,2025,5182912575.000000000,5185920408.837125778,19376795,15238566.273920000,14,0,"ecdsafail-qxt-history-v1",8.798
81,"700d5a728089d7ea56722a42fa0504dcac8b1c98","700d5a7","2026-06-02T05:30:10Z","e72b8542-429a-4f19-a1f8-c499a4c11891",50000,49964,36,0.999280000000,99.928000000,2571903.000000000,2002,5148949806.000000000,5152659720.999119759,19336713,15185697.193980001,21,0,"ecdsafail-qxt-history-v1",8.715
91,"c813ee55f14aa4a31a328366d672e1fb1c407a3d","c813ee5","2026-06-02T07:29:49Z","1f7aabe7-5d64-4587-a9c0-ff98e26fc10a",50000,49990,10,0.999800000000,99.980000000,1981734.000000000,1698,3364984332.000000000,3365657463.492698669,14434652,11198036.188080000,4,0,"ecdsafail-qxt-history-v1",6.728
